# Spatial-averaged data for fix zcnt_hi and group z_hi
# Timestep Number-of-bins
# Bin Coord Ncount v_temp
20810000 20
  17 0.825 978.14 320.254
  18 0.875 977.86 317.087
  19 0.925 977.72 319.447
  20 0.975 966.28 320.82
21130000 20
  1 0.025 967.05 315.998
  2 0.075 976.95 320.005
  3 0.125 978.3 319.822
  4 0.175 977.7 319.399
  5 0.225 978.4 315.43
  6 0.275 977.6 318.223
  7 0.325 978.58 319.573
  8 0.375 977.42 319.142
  9 0.425 979.38 318.791
  10 0.475 976.62 319.906
  11 0.525 980.81 316.29
  12 0.575 975.19 319.526
  13 0.625 980.76 319.439
  14 0.675 975.24 321.193
  15 0.725 979.69 322.949
  16 0.775 976.31 318.646
  17 0.825 977.85 319.083
  18 0.875 978.15 322.808
  19 0.925 977.25 321.671
  20 0.975 966.75 319.602
21140000 20
  1 0.025 966.14 315.564
  2 0.075 977.86 316.711
  3 0.125 978.32 317.616
  4 0.175 977.68 318.071
  5 0.225 976.76 317.841
  6 0.275 979.24 321.274
  7 0.325 975.2 318.72
  8 0.375 980.8 322.808
  9 0.425 974.89 317.863
  10 0.475 981.11 310.918
  11 0.525 975.78 319.78
  12 0.575 980.22 325.049
  13 0.625 976.74 319.809
  14 0.675 979.26 323.869
  15 0.725 977.08 324.093
  16 0.775 978.92 321.623
  17 0.825 977.39 318.221
  18 0.875 978.61 319.691
  19 0.925 976.98 323.004
  20 0.975 967.02 321.343
21150000 20
  1 0.025 966.31 320.911
  2 0.075 977.69 320.631
  3 0.125 978.01 317.134
  4 0.175 977.99 316.935
  5 0.225 978.56 315.486
  6 0.275 977.44 320.683
  7 0.325 978.66 317.129
  8 0.375 977.34 314.663
  9 0.425 979.77 319.121
  10 0.475 976.23 316.395
  11 0.525 980.85 318.884
  12 0.575 975.15 325.889
  13 0.625 980.47 323.927
  14 0.675 975.53 319.65
  15 0.725 978.64 324.486
  16 0.775 977.36 321.071
  17 0.825 977.95 315.987
  18 0.875 978.05 319.937
  19 0.925 977.62 320.718
  20 0.975 966.38 318.18
21160000 20
  1 0.025 966.15 317.958
  2 0.075 977.85 316.327
  3 0.125 978.04 321.319
  4 0.175 977.96 316.832
  5 0.225 976.65 318.211
  6 0.275 979.35 324.313
  7 0.325 975.19 323.452
  8 0.375 980.81 318.913
  9 0.425 974.91 313.845
  10 0.475 981.09 313.446
  11 0.525 976.29 318.406
  12 0.575 979.71 319.222
  13 0.625 976.47 325.358
  14 0.675 979.53 323.631
  15 0.725 976.77 328.346
  16 0.775 979.23 325.478
  17 0.825 977.38 321.054
  18 0.875 978.62 313.624
  19 0.925 976.63 315.186
  20 0.975 967.37 316.163
21170000 20
  1 0.025 966.6 314.027
  2 0.075 977.4 316.551
  3 0.125 978.56 317.214
  4 0.175 977.44 321.178
  5 0.225 978.54 321.87
  6 0.275 977.46 321.699
  7 0.325 978.35 322.089
  8 0.375 977.65 318.778
  9 0.425 979.14 321.199
  10 0.475 976.86 316.216
  11 0.525 980.53 316.687
  12 0.575 975.47 318.074
  13 0.625 980.16 326.401
  14 0.675 975.84 327.776
  15 0.725 979 323.791
  16 0.775 977 326.264
  17 0.825 977.88 321.081
  18 0.875 978.12 313.825
  19 0.925 978.03 312.274
  20 0.975 965.97 313.973
21180000 20
  1 0.025 966.28 317.996
  2 0.075 977.72 319.956
  3 0.125 978.05 316.372
  4 0.175 977.95 320.1
  5 0.225 977.15 318.435
  6 0.275 978.85 324.155
  7 0.325 975.75 320.337
  8 0.375 980.26 315.003
  9 0.425 975.48 324.04
  10 0.475 980.51 328.128
  11 0.525 976.62 323.533
  12 0.575 979.38 318.398
  13 0.625 977.04 320.821
  14 0.675 978.96 321.191
  15 0.725 976.94 321.575
  16 0.775 979.06 322.157
  17 0.825 977.59 320.812
  18 0.875 978.41 314.419
  19 0.925 977.41 314.181
  20 0.975 966.59 312.397
21190000 20
  1 0.025 966.62 323.656
  2 0.075 977.38 316.171
  3 0.125 978.13 322.037
  4 0.175 977.87 319.518
  5 0.225 978.52 315.826
  6 0.275 977.48 318.445
  7 0.325 977.95 316.746
  8 0.375 978.05 322.368
  9 0.425 978.95 323.128
  10 0.475 977.05 324.602
  11 0.525 980.15 321.8
  12 0.575 975.85 319.315
  13 0.625 979.7 315.884
  14 0.675 976.3 321.329
  15 0.725 978.34 320.883
  16 0.775 977.66 323.4
  17 0.825 977.91 315.989
  18 0.875 978.09 317
  19 0.925 977.56 316.113
  20 0.975 966.44 311.243
21200000 20
  1 0.025 966.18 325.167
  2 0.075 977.82 320.318
  3 0.125 978 317.15
  4 0.175 978 314.406
  5 0.225 977.39 319.061
  6 0.275 978.61 324.902
  7 0.325 976.16 324.75
  8 0.375 979.84 322.508
  9 0.425 975.41 317.699
  10 0.475 980.59 312.644
  11 0.525 977.1 318.336
  12 0.575 978.9 318.268
  13 0.625 977.94 322.952
  14 0.675 978.06 323.711
  15 0.725 977.26 325.063
  16 0.775 978.74 318.566
  17 0.825 976.9 316.793
  18 0.875 979.1 321.706
  19 0.925 977.65 316.828
  20 0.975 966.35 310.165
21210000 20
  1 0.025 966.48 329.485
  2 0.075 977.52 323.533
  3 0.125 978.95 320.342
  4 0.175 977.05 316.703
  5 0.225 978.65 320.492
  6 0.275 977.35 324.134
  7 0.325 977.63 320.473
  8 0.375 978.37 322.395
  9 0.425 978.75 315.362
  10 0.475 977.25 312.626
  11 0.525 980.45 319.179
  12 0.575 975.55 311.655
  13 0.625 979.66 321.851
  14 0.675 976.34 321.698
  15 0.725 978.57 320.052
  16 0.775 977.43 316.166
  17 0.825 977.77 320.77
  18 0.875 978.23 315.416
  19 0.925 977.42 316.859
  20 0.975 966.58 319.349
21220000 20
  1 0.025 966.62 325.77
  2 0.075 977.38 320.001
  3 0.125 978.21 324.098
  4 0.175 977.79 323.74
  5 0.225 977.38 321.353
  6 0.275 978.62 322.561
  7 0.325 976.46 321.568
  8 0.375 979.54 317.871
  9 0.425 975.7 318.253
  10 0.475 980.3 318.233
  11 0.525 976.51 316.284
  12 0.575 979.49 319.054
  13 0.625 977.48 312.972
  14 0.675 978.52 316.52
  15 0.725 977.02 319.666
  16 0.775 978.98 318.805
  17 0.825 976.99 319.355
  18 0.875 979.01 320.051
  19 0.925 977.61 315.391
  20 0.975 966.39 322.445
21230000 20
  1 0.025 966.33 324.035
  2 0.075 977.67 330.476
